"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 27 14:51:11 UTC 2022","Tue Sep 27 14:51:17 UTC 2022","6261","","sign-up redirection","","sign-up redirection","Should check sign-up redirection function","Should check sign-up redirection function",""
"passed","Tue Sep 27 14:50:43 UTC 2022","Tue Sep 27 14:50:51 UTC 2022","8019","","login","","login","Should not login with invalid credentials","Should not login with invalid credentials",""
"passed","Tue Sep 27 14:53:14 UTC 2022","Tue Sep 27 14:53:17 UTC 2022","3363","","join the waitlist","","join the waitlist","Should not join the waitlist with invalid credentials","Should not join the waitlist with invalid credentials",""
"passed","Tue Sep 27 14:52:16 UTC 2022","Tue Sep 27 14:52:22 UTC 2022","5862","","support center","","support center","Should search in support center with valid input","Should search in support center with valid input",""
"passed","Tue Sep 27 14:53:05 UTC 2022","Tue Sep 27 14:53:10 UTC 2022","5073","","join the waitlist","","join the waitlist","Should not join the waitlist with invalid credentials","Should not join the waitlist with invalid credentials",""
"passed","Tue Sep 27 14:53:06 UTC 2022","Tue Sep 27 14:53:14 UTC 2022","7967","","join the waitlist","","join the waitlist","Should join the waitlist with valid credentials","Should join the waitlist with valid credentials",""
"passed","Tue Sep 27 14:52:16 UTC 2022","Tue Sep 27 14:52:21 UTC 2022","5163","","sliders and price check","","sliders and price check","Should check basic prices for voice tab","Should check basic prices for voice tab",""
"passed","Tue Sep 27 14:49:36 UTC 2022","Tue Sep 27 14:49:50 UTC 2022","14206","","forgot password","","forgot password","Should be checked forgot password function","Should be checked forgot password function",""
"passed","Tue Sep 27 14:49:05 UTC 2022","Tue Sep 27 14:49:18 UTC 2022","13474","","Request demo","","Request demo","Should request demo via Request demo button","Should request demo via Request demo button",""
"passed","Tue Sep 27 14:49:43 UTC 2022","Tue Sep 27 14:49:56 UTC 2022","12744","","Request demo","","Request demo","Should request demo via Request demo button","Should request demo via Request demo button",""
"passed","Tue Sep 27 14:51:42 UTC 2022","Tue Sep 27 14:51:49 UTC 2022","6216","","sign-up redirection","","sign-up redirection","Should check sign-up redirection function","Should check sign-up redirection function",""
"passed","Tue Sep 27 14:51:31 UTC 2022","Tue Sep 27 14:51:32 UTC 2022","437","","sliders and price check","","sliders and price check","Should check basic prices for sms tab","Should check basic prices for sms tab",""
"passed","Tue Sep 27 14:52:07 UTC 2022","Tue Sep 27 14:52:12 UTC 2022","4902","","social","","social","Should check that social links is clickable and have correct url","Should check that social links is clickable and have correct url",""
"passed","Tue Sep 27 14:52:35 UTC 2022","Tue Sep 27 14:52:36 UTC 2022","987","","support center","","support center","Should receive error while search in support center with invalid input","Should receive error while search in support center with invalid input",""
"passed","Tue Sep 27 14:51:26 UTC 2022","Tue Sep 27 14:51:31 UTC 2022","5262","","sliders and price check","","sliders and price check","Should check basic prices for voice tab","Should check basic prices for voice tab",""
"passed","Tue Sep 27 14:50:56 UTC 2022","Tue Sep 27 14:51:02 UTC 2022","6369","","registration","","registration","Should complete registration with valid credentials","Should complete registration with valid credentials",""
"passed","Tue Sep 27 14:52:58 UTC 2022","Tue Sep 27 14:53:05 UTC 2022","7442","","join the waitlist","","join the waitlist","Should join the waitlist with valid credentials","Should join the waitlist with valid credentials",""
"passed","Tue Sep 27 14:50:29 UTC 2022","Tue Sep 27 14:50:43 UTC 2022","14227","","login","","login","Should login with valid credentials","Should login with valid credentials",""
"passed","Tue Sep 27 14:52:41 UTC 2022","Tue Sep 27 14:52:46 UTC 2022","5851","","join the waitlist","","join the waitlist","Should join the waitlist with valid credentials","Should join the waitlist with valid credentials",""
"passed","Tue Sep 27 14:50:59 UTC 2022","Tue Sep 27 14:51:09 UTC 2022","10071","","Navigation Bar","","Navigation Bar","Should check that all nav bar elements displayed","Should check that all nav bar elements displayed",""
"passed","Tue Sep 27 14:51:11 UTC 2022","Tue Sep 27 14:51:18 UTC 2022","7406","","registration","","registration","Should complete registration with valid credentials","Should complete registration with valid credentials",""
"passed","Tue Sep 27 14:51:18 UTC 2022","Tue Sep 27 14:51:21 UTC 2022","3178","","registration","","registration","Should not complete registration with invalid credentials","Should not complete registration with invalid credentials",""
"passed","Tue Sep 27 14:52:22 UTC 2022","Tue Sep 27 14:52:22 UTC 2022","546","","sliders and price check","","sliders and price check","Should move sliders and check that prices in voice tab changed","Should move sliders and check that prices in voice tab changed",""
"passed","Tue Sep 27 14:50:31 UTC 2022","Tue Sep 27 14:50:39 UTC 2022","8265","","login","","login","Should not login with invalid credentials","Should not login with invalid credentials",""
"passed","Tue Sep 27 14:51:02 UTC 2022","Tue Sep 27 14:51:05 UTC 2022","3319","","registration","","registration","Should not complete registration with invalid credentials","Should not complete registration with invalid credentials",""
"passed","Tue Sep 27 14:52:01 UTC 2022","Tue Sep 27 14:52:03 UTC 2022","2266","","social","","social","Should check that social links is clickable and have correct url","Should check that social links is clickable and have correct url",""
"passed","Tue Sep 27 14:51:32 UTC 2022","Tue Sep 27 14:51:33 UTC 2022","1117","","sliders and price check","","sliders and price check","Should move sliders and check that prices in voice tab changed","Should move sliders and check that prices in voice tab changed",""
"passed","Tue Sep 27 14:52:55 UTC 2022","Tue Sep 27 14:52:56 UTC 2022","848","","support center","","support center","Should receive error while search in support center with invalid input","Should receive error while search in support center with invalid input",""
"passed","Tue Sep 27 14:51:36 UTC 2022","Tue Sep 27 14:52:13 UTC 2022","36626","","sign-up redirection","","sign-up redirection","Should check sign-up redirection function","Should check sign-up redirection function",""
"passed","Tue Sep 27 14:52:21 UTC 2022","Tue Sep 27 14:52:22 UTC 2022","564","","sliders and price check","","sliders and price check","Should move sliders and check that prices in sms tab changed","Should move sliders and check that prices in sms tab changed",""
"passed","Tue Sep 27 14:50:46 UTC 2022","Tue Sep 27 14:50:49 UTC 2022","3215","","Navigation Bar","","Navigation Bar","Should check that all nav bar elements displayed","Should check that all nav bar elements displayed",""
"passed","Tue Sep 27 14:51:32 UTC 2022","Tue Sep 27 14:51:32 UTC 2022","518","","sliders and price check","","sliders and price check","Should move sliders and check that prices in sms tab changed","Should move sliders and check that prices in sms tab changed",""
"passed","Tue Sep 27 14:51:58 UTC 2022","Tue Sep 27 14:51:59 UTC 2022","928","","sliders and price check","","sliders and price check","Should move sliders and check that prices in voice tab changed","Should move sliders and check that prices in voice tab changed",""
"passed","Tue Sep 27 14:52:36 UTC 2022","Tue Sep 27 14:52:55 UTC 2022","19138","","support center","","support center","Should search in support center with valid input","Should search in support center with valid input",""
"passed","Tue Sep 27 14:50:51 UTC 2022","Tue Sep 27 14:50:55 UTC 2022","3595","","Navigation Bar","","Navigation Bar","Should check that all nav bar elements displayed","Should check that all nav bar elements displayed",""
"passed","Tue Sep 27 14:50:51 UTC 2022","Tue Sep 27 14:50:53 UTC 2022","2171","","login","","login","Should not login through “Single Sign-on” with not registered email","Should not login through “Single Sign-on” with not registered email",""
"passed","Tue Sep 27 14:50:03 UTC 2022","Tue Sep 27 14:50:16 UTC 2022","12637","","forgot password","","forgot password","Should be checked forgot password function","Should be checked forgot password function",""
"passed","Tue Sep 27 14:50:12 UTC 2022","Tue Sep 27 14:50:21 UTC 2022","8639","","login","","login","Should not login with invalid credentials","Should not login with invalid credentials",""
"passed","Tue Sep 27 14:52:28 UTC 2022","Tue Sep 27 14:52:35 UTC 2022","6552","","support center","","support center","Should search in support center with valid input","Should search in support center with valid input",""
"passed","Tue Sep 27 14:50:21 UTC 2022","Tue Sep 27 14:50:31 UTC 2022","10066","","login","","login","Should login with valid credentials","Should login with valid credentials",""
"passed","Tue Sep 27 14:52:21 UTC 2022","Tue Sep 27 14:52:21 UTC 2022","354","","sliders and price check","","sliders and price check","Should check basic prices for sms tab","Should check basic prices for sms tab",""
"passed","Tue Sep 27 14:49:51 UTC 2022","Tue Sep 27 14:50:00 UTC 2022","9229","","forgot password","","forgot password","Should be checked forgot password function","Should be checked forgot password function",""
"passed","Tue Sep 27 14:52:46 UTC 2022","Tue Sep 27 14:52:50 UTC 2022","3540","","join the waitlist","","join the waitlist","Should not join the waitlist with invalid credentials","Should not join the waitlist with invalid credentials",""
"passed","Tue Sep 27 14:51:57 UTC 2022","Tue Sep 27 14:51:58 UTC 2022","408","","sliders and price check","","sliders and price check","Should check basic prices for sms tab","Should check basic prices for sms tab",""
"passed","Tue Sep 27 14:52:22 UTC 2022","Tue Sep 27 14:52:23 UTC 2022","1769","","support center","","support center","Should receive error while search in support center with invalid input","Should receive error while search in support center with invalid input",""
"passed","Tue Sep 27 14:51:52 UTC 2022","Tue Sep 27 14:51:57 UTC 2022","4734","","sliders and price check","","sliders and price check","Should check basic prices for voice tab","Should check basic prices for voice tab",""
"passed","Tue Sep 27 14:50:21 UTC 2022","Tue Sep 27 14:50:23 UTC 2022","1967","","login","","login","Should not login through “Single Sign-on” with not registered email","Should not login through “Single Sign-on” with not registered email",""
"passed","Tue Sep 27 14:50:39 UTC 2022","Tue Sep 27 14:50:41 UTC 2022","1770","","login","","login","Should not login through “Single Sign-on” with not registered email","Should not login through “Single Sign-on” with not registered email",""
"passed","Tue Sep 27 14:52:26 UTC 2022","Tue Sep 27 14:52:30 UTC 2022","3845","","social","","social","Should check that social links is clickable and have correct url","Should check that social links is clickable and have correct url",""
"passed","Tue Sep 27 14:50:01 UTC 2022","Tue Sep 27 14:50:12 UTC 2022","11552","","login","","login","Should login with valid credentials","Should login with valid credentials",""
"passed","Tue Sep 27 14:51:30 UTC 2022","Tue Sep 27 14:51:36 UTC 2022","5503","","registration","","registration","Should not complete registration with invalid credentials","Should not complete registration with invalid credentials",""
"passed","Tue Sep 27 14:51:58 UTC 2022","Tue Sep 27 14:51:58 UTC 2022","659","","sliders and price check","","sliders and price check","Should move sliders and check that prices in sms tab changed","Should move sliders and check that prices in sms tab changed",""
"passed","Tue Sep 27 14:51:23 UTC 2022","Tue Sep 27 14:51:30 UTC 2022","7225","","registration","","registration","Should complete registration with valid credentials","Should complete registration with valid credentials",""
"passed","Tue Sep 27 14:49:03 UTC 2022","Tue Sep 27 14:49:32 UTC 2022","29077","","Request demo","","Request demo","Should request demo via Request demo button","Should request demo via Request demo button",""
